,File,hue,saturation,value,dissimilarity 0,dissimilarity 45,dissimilarity 90,dissimilarity 135,correlation 0,correlation 45,correlation 90,correlation 135,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135,contrast 0,contrast 45,contrast 90,contrast 135,ASM 0,ASM 45,ASM 90,ASM 135,energy 0,energy 45,energy 90,energy 135,metric,eccentricity,Class,Image,CannyEdgeProbability,RobertsEdgeProbability,SobelEdgeProbability,ScharrEdgeProbability,PrewittEdgeProbability,Gaussian3EdgeProbability,Gaussian7EdgeProbability,Median3EdgeProbability,Var3EdgeProbability
595,tungro_virus (32).bmp,0.0242545741285722,0.3046592867699204,0.3641882105035825,0.2550285382938434,0.2156794969499116,0.2605617806294898,0.2334906420980744,0.6763161607457151,0.7037940990460982,0.6170741088454903,0.6431205837041323,0.1184059890313162,0.1354838924675932,0.09592794902068577,0.1142569122418517,0.0755798504888717,0.06501293031316747,0.08109406136586067,0.07821297537868062,0.009937155419547768,0.0093571347481603,0.00696954219984448,0.009206065289298937,0.06771675887406933,0.06460792132280349,0.05554660882139417,0.0638815623317415,0.01893611144836701,0.0,tungro_virus,tungro_virus (32).bmp,0.04585857780612244,0.0001068072045534199,0.0001350506007064027,0.0001365309089899984,0.0001333638682443201,0.4098694946728692,0.4098687912665066,0.413772931047419,0.4310162346188476
596,tungro_virus (33).bmp,0.02487533995207068,0.1803917407570178,0.6464160588344875,0.1631712141422364,0.1506702955057373,0.2094412503894818,0.1797068055128538,0.7862577885091708,0.7389811587409256,0.5966508646810347,0.648188311557088,0.2154378383044462,0.1904246131792547,0.14360904023815,0.1871899650191151,0.03690534427758543,0.04008930722458025,0.06296243102052185,0.05638077802623068,0.01746649349274518,0.01413598250567301,0.01039497664900325,0.01364120732549683,0.09939101777484977,0.08599466393079863,0.07326617570866456,0.08396126837455381,0.005676479644720576,0.5370980018145612,tungro_virus,tungro_virus (33).bmp,0.02421476403061224,8.08849262694793e-05,0.0001015308121637303,0.0001024220232033046,0.0001006094503430107,0.5034967893407363,0.5035040578731493,0.5074411014405762,0.4310162346188476
597,tungro_virus (34).bmp,0.0515116164399466,0.2470441275681116,0.5959968133560606,0.3159843297506519,0.31756768370333,0.3683374265677051,0.319858710976033,0.5893563785002831,0.5239299785310105,0.4109015527542604,0.5148167707487847,0.109446640305172,0.0884863210334093,0.05864986896747223,0.07735738357410195,0.1129163319056543,0.1272189172059491,0.1477345116534529,0.1256908827110796,0.007020045105364871,0.006214755743670198,0.00454403418044107,0.006238835963284403,0.05275976785208472,0.04795244810798784,0.04067887585162245,0.04810639076512264,0.01893611144836701,0.0,tungro_virus,tungro_virus (34).bmp,0.1002072704081633,0.0001446859924055069,0.0001817725218269169,0.0001838247646052574,0.0001793868966766355,0.4772650466436574,0.4772777079581833,0.4816052983693477,0.4310162346188476
598,tungro_virus (35).bmp,0.06597985298244376,0.1974034839654814,0.6326403673444484,0.3135974751114651,0.2881141536730468,0.3325339998570946,0.2738545222536166,0.594821560395254,0.5897578256881015,0.5015318769018724,0.5892432474125104,0.08960690985809502,0.1103531866375505,0.08108923397818535,0.117741792299504,0.1174746755128151,0.116673986150366,0.134523666299794,0.113542442831646,0.007170231639881391,0.007024498611106566,0.005252709925175212,0.007510862285035218,0.05358452007091867,0.05251154184564313,0.04529135634695958,0.05516817062378975,0.002593191445522228,0.3339721431369919,tungro_virus,tungro_virus (35).bmp,0.1429169323979592,0.0001745368119385968,0.0001928381576858025,0.0001976121000343735,0.0001877475446034091,0.558788906187475,0.5587905474689876,0.5627096932523009,0.4310162346188476
599,tungro_virus (36).bmp,0.09042470291071851,0.1665425269285837,0.6203126835882857,0.3624420424999254,0.3373025575061257,0.3881515574090241,0.3372135627125833,0.571896820574459,0.5648506426737387,0.4730043485533896,0.5418099432655665,0.08549441929743257,0.1038692151219408,0.06680485350524931,0.09890062571648868,0.152513524033225,0.1535307031235505,0.1742800831035478,0.1557976611555758,0.006914833387995016,0.006788670189769817,0.004991419615515027,0.007007041717949197,0.0521778818983695,0.05120562575118274,0.04362034724881452,0.05243124221772835,0.00477915212169251,0.5097884137032603,tungro_virus,tungro_virus (36).bmp,0.2054567920918367,0.0002469153719778821,0.0002339745773805579,0.000242859476136304,0.0002261415147444597,0.5481687987695077,0.5481743478641457,0.5531767394457783,0.4310162346188476
600,tungro_virus (37).bmp,0.1224480129224482,0.1506415465771557,0.6291609498875802,0.3008580934655551,0.2742998583975388,0.3429753875371299,0.3112203348014752,0.6416588541013727,0.643194017549341,0.5260495783310851,0.5612686766754766,0.1654057577627697,0.1540536719238104,0.08930970200596375,0.1102013978777737,0.1190663289815866,0.1153572673878845,0.1447071893357378,0.1375726705730371,0.01006421613935746,0.008150100823353112,0.005335599418662179,0.00740665253715953,0.0683238973206294,0.05852201173450957,0.04581465315405508,0.05460812233479533,0.003863147182040574,0.3368925904216092,tungro_virus,tungro_virus (37).bmp,0.1473014987244898,0.0001793930874790025,0.0001947718327128017,0.0001996414258662886,0.0001898116325477701,0.5364559104891957,0.5364490327380952,0.5413151979541817,0.4310162346188476
601,tungro_virus (38).bmp,0.1727098721947209,0.571081276140053,0.7852322936328279,0.3061327430955256,0.4000263170982251,0.4463452466852699,0.3094952142194109,0.6581263719062196,0.465665843057122,0.3762638425094125,0.6284330767881329,0.1507510783652826,0.07872391495107765,0.04696862014785807,0.1127814561350821,0.1339400203713521,0.2080897343670017,0.2252831157563209,0.1392474239663132,0.008398918824015368,0.005074277895088361,0.00359867937546339,0.006166909637363596,0.0600920622171903,0.04113167719155755,0.03408008753389077,0.04769133282133817,0.010988455758634,0.5222476420878547,tungro_virus,tungro_virus (38).bmp,0.1645208864795918,0.0002054674542873511,0.0002219003395769577,0.0002270284180586893,0.0002170109384123081,0.5330664296968788,0.5330579888205282,0.5376051983293317,0.4310162346188476
602,tungro_virus (39).bmp,0.1891952938908035,0.5924101975889833,0.7400882605483324,0.3447851564675296,0.3551403322329513,0.4514325113551154,0.3575843646268618,0.6413374834381821,0.551000614983791,0.3620640442777915,0.5660157227350731,0.1036318949432987,0.1094646373428029,0.05383365507722524,0.07439255658174233,0.1490035147157273,0.1840650003747152,0.2415954093942672,0.1709759602694641,0.006497363507966507,0.006062168903980624,0.003817413830939745,0.005552748576404996,0.04983431120862047,0.04706857498501747,0.03565811201067414,0.04407014133908902,0.002473403425973574,0.3775646008050201,tungro_virus,tungro_virus (39).bmp,0.1792689732142857,0.0002108221890969831,0.0002304744398053273,0.000236341787738852,0.0002244914768254284,0.5329726421818728,0.5329731892757102,0.5372895251850741,0.4310162346188476
603,tungro_virus (40).bmp,0.2048040347593595,0.5796545899200733,0.706059158678092,0.346250136704321,0.4091940774794832,0.4394759658061796,0.2914622846234124,0.6677693803522914,0.5547065014489526,0.5011262715346004,0.7115762214408139,0.1014768859086385,0.07006243463029528,0.04786218706367793,0.1204035874263792,0.1524473364895493,0.2036441775632761,0.2112685486522029,0.1277463401442255,0.004989782339665357,0.003465849716555988,0.002623425679331349,0.005140708122378662,0.04084802658903389,0.03049733380474012,0.02659061961686322,0.04155760597621778,0.005018008577575021,0.5692886019781411,tungro_virus,tungro_virus (40).bmp,0.1782326211734694,0.0002020187808118204,0.0002266815260348367,0.0002320536114387265,0.0002209726321492734,0.5437760260354141,0.543772743472389,0.5471500318877551,0.4310162346188476
604,tungro_virus (41).bmp,0.1592941166625126,0.2298731742866041,0.5985659481207523,0.3294506154894635,0.300190411349305,0.4298323271133306,0.3655713043218397,0.6119920536228312,0.5795404809450994,0.3118082087551218,0.4588878591432245,0.09203513839479965,0.1282620994590676,0.06022040238102393,0.07651578126196328,0.1255381852034145,0.1333235153469227,0.2038688804015927,0.1657383607174526,0.006718263962992215,0.007246071214289653,0.004210227641234343,0.00595243699999471,0.05108141625744861,0.05372307442266159,0.03841229767057375,0.0464427378346052,0.01194993354700476,0.1137792462079638,tungro_virus,tungro_virus (41).bmp,0.1861447704081633,0.0001988188680901873,0.0002181773712470717,0.0002241739872970151,0.0002119512299919288,0.5370617778361344,0.5370661545868347,0.541031412565026,0.4310162346188476
